model_id,make,model,min_price,max_price,hold_amount,currency,warranty,warranty_duration,item_name
184,Chevrolet,Tahoe,700,700,666.6666667,AED,12,months,Standard
185,Chevrolet,Trailblazer,635,635,604.7619048,AED,12,months,Standard
186,Chevrolet,Traverse,635,635,604.7619048,AED,12,months,Standard
187,Chevrolet,Trax,635,635,604.7619048,AED,12,months,Standard
188,Chevrolet,Uplander,,,,AED,12,months,Standard
189,Chrysler,200,635,635,604.7619048,AED,12,months,Standard
190,Chrysler,300 SRT,700,700,666.6666667,AED,12,months,Standard
191,Chrysler,300C,700,700,666.6666667,AED,12,months,Standard
192,Chrysler,Crossfire,700,700,666.6666667,AED,12,months,Standard
193,Chrysler,Grand Voyager,700,700,666.6666667,AED,12,months,Standard
194,Chrysler,Pacifica,700,700,666.6666667,AED,12,months,Standard
195,Chrysler,PT Cruiser,700,700,666.6666667,AED,12,months,Standard
196,Chrysler,Sebring,700,700,666.6666667,AED,12,months,Standard
197,Citroen,C-Elysee,,,,AED,12,months,Standard
198,Citroen,C2,525,525,500,AED,12,months,Standard
199,Citroen,C3,525,525,500,AED,12,months,Standard
200,Citroen,C4,525,525,500,AED,12,months,Standard
201,Citroen,C4 Picasso,525,525,500,AED,12,months,Standard
202,Citroen,C5,635,635,604.7619048,AED,12,months,Standard
203,Citroen,C8,635,635,604.7619048,AED,12,months,Standard
204,Citroen,DS3,635,635,604.7619048,AED,12,months,Standard
205,Citroen,DS4,635,635,604.7619048,AED,12,months,Standard
206,Citroen,DS5,635,635,604.7619048,AED,12,months,Standard
207,Citroen,Saxo,635,635,604.7619048,AED,12,months,Standard
208,Citroen,Xsara Picasso,635,635,604.7619048,AED,12,months,Standard
209,CMC,Z7,,,,AED,12,months,Standard
210,Daihatsu,Charade,,,,AED,12,months,Standard
211,Daihatsu,Gran Max Pickup,525,525,500,AED,12,months,Standard
212,Daihatsu,Gran Max Van,525,525,500,AED,12,months,Standard
213,Daihatsu,Materia,,,,AED,12,months,Standard
214,Daihatsu,Sirion,420,420,400,AED,12,months,Standard
215,Daihatsu,Terios,420,420,400,AED,12,months,Standard
216,Daihatsu,YRV,,,,AED,12,months,Standard
217,Dodge,Avenger,700,700,666.6666667,AED,12,months,Standard
218,Dodge,Caliber,525,525,500,AED,12,months,Standard
219,Dodge,Challenger,700,700,666.6666667,AED,12,months,Standard
220,Dodge,Challenger SRT,700,700,666.6666667,AED,12,months,Standard
221,Dodge,Charger,775,775,738.0952381,AED,12,months,Standard
222,Dodge,Charger SRT,775,775,738.0952381,AED,12,months,Standard
223,Dodge,Dakota,,,,AED,12,months,Standard
224,Dodge,Dart,525,525,500,AED,12,months,Standard
225,Dodge,Durango,700,700,666.6666667,AED,12,months,Standard
226,Dodge,Neon,635,635,604.7619048,AED,12,months,Standard
227,Dodge,Nitro,635,635,604.7619048,AED,12,months,Standard
228,Dodge,Ram,700,700,666.6666667,AED,12,months,Standard
229,Dodge,Viper,700,700,666.6666667,AED,12,months,Standard
230,Dongfeng,H30 Cross,,,,AED,12,months,Standard
231,Dongfeng,S30,,,,AED,12,months,Standard
232,Ferrari,360,,,,AED,12,months,Standard
233,Ferrari,458,,,,AED,12,months,Standard
234,Ferrari,458 Spider,,,,AED,12,months,Standard
235,Ferrari,488 GTB,,,,AED,12,months,Standard
236,Ferrari,488 Spider,,,,AED,12,months,Standard
237,Ferrari,599 GTB Fiorano,,,,AED,12,months,Standard
238,Ferrari,612 Scaglietti,,,,AED,12,months,Standard
239,Ferrari,812 Superfast,,,,AED,12,months,Standard
240,Ferrari,California,,,,AED,12,months,Standard
241,Ferrari,California T,,,,AED,12,months,Standard
242,Ferrari,F12 Berlinetta,,,,AED,12,months,Standard
243,Ferrari,F430,,,,AED,12,months,Standard
244,Ferrari,F430 Spider,,,,AED,12,months,Standard
245,Ferrari,FF,,,,AED,12,months,Standard
246,Ferrari,GTC4Lusso,,,,AED,12,months,Standard
247,Ferrari,GTC4Lusso T,,,,AED,12,months,Standard
248,Ferrari,LaFerrari,,,,AED,12,months,Standard
249,Ferrari,Portofino,,,,AED,12,months,Standard
250,Fiat,500,420,420,400,AED,12,months,Standard
251,Fiat,500L,420,420,400,AED,12,months,Standard
252,Fiat,500X,420,420,400,AED,12,months,Standard
253,Fiat,Bravo,525,525,500,AED,12,months,Standard
254,Fiat,Ducato,525,525,500,AED,12,months,Standard
255,Fiat,Fiorino,525,525,500,AED,12,months,Standard
256,Fiat,Fullback,525,525,500,AED,12,months,Standard
257,Fiat,Linea,525,525,500,AED,12,months,Standard
258,Fiat,Punto,420,420,400,AED,12,months,Standard
259,Fisker,Karma,,,,AED,12,months,Standard
260,Ford,Crown Victoria,635,635,604.7619048,AED,12,months,Standard
261,Ford,Ecosport,525,525,500,AED,12,months,Standard
262,Ford,Edge,,,,AED,12,months,Standard
263,Ford,Escape,635,635,604.7619048,AED,12,months,Standard
264,Ford,Everest,,,,AED,12,months,Standard
265,Ford,Expedition,,,,AED,12,months,Standard
266,Ford,Explorer,700,700,666.6666667,AED,12,months,Standard
267,Ford,F-150,,,,AED,12,months,Standard
268,Ford,F-150 Raptor,,,,AED,12,months,Standard
269,Ford,Fiesta,420,420,400,AED,12,months,Standard
270,Ford,Figo,420,420,400,AED,12,months,Standard
271,Ford,Five Hundred,,,,AED,12,months,Standard
272,Ford,Flex,,,,AED,12,months,Standard
273,Ford,Focus,525,525,500,AED,12,months,Standard
274,Ford,Focus ST,525,525,500,AED,12,months,Standard
275,Ford,Freestar,,,,AED,12,months,Standard
276,Ford,Fusion,525,525,500,AED,12,months,Standard
277,Ford,GT,635,635,604.7619048,AED,12,months,Standard
278,Ford,Mondeo,525,525,500,AED,12,months,Standard
279,Ford,Mustang,525,525,500,AED,12,months,Standard
280,Ford,Mustang Convertible,525,525,500,AED,12,months,Standard
281,Ford,Ranger,635,635,604.7619048,AED,12,months,Standard
282,Ford,Shelby GT500,700,700,666.6666667,AED,12,months,Standard
283,Ford,Taurus,,,,AED,12,months,Standard
284,Ford,Tourneo Custom,,,,AED,12,months,Standard
285,Ford,Transit,775,775,738.0952381,AED,12,months,Standard
286,Ford,Transit Custom,775,775,738.0952381,AED,12,months,Standard
287,Foton,SUP,,,,AED,12,months,Standard
288,Foton,Tunland,,,,AED,12,months,Standard
289,Foton,View C1 Minibus,,,,AED,12,months,Standard
290,GAC,GA3,525,525,500,AED,12,months,Standard
291,GAC,GA5,525,525,500,AED,12,months,Standard
292,GAC,GA8,635,635,604.7619048,AED,12,months,Standard
293,GAC,GS3,525,525,500,AED,12,months,Standard
294,GAC,GS4,525,525,500,AED,12,months,Standard
295,GAC,GS5,525,525,500,AED,12,months,Standard
296,GAC,GS7,635,635,604.7619048,AED,12,months,Standard
297,GAC,GS8,635,635,604.7619048,AED,12,months,Standard
298,Geely,CK,,,,AED,12,months,Standard
299,Geely,Emgrand 7,525,525,500,AED,12,months,Standard
300,Geely,Emgrand 8,525,525,500,AED,12,months,Standard
301,Geely,Emgrand GS,525,525,500,AED,12,months,Standard
302,Geely,Emgrand GT,525,525,500,AED,12,months,Standard
303,Geely,Emgrand X7,525,525,500,AED,12,months,Standard
304,Geely,Emgrand X7 Sport,525,525,500,AED,12,months,Standard
305,Geely,GC2,525,525,500,AED,12,months,Standard
306,Geely,GC6,525,525,500,AED,12,months,Standard
307,Geely,GC7,525,525,500,AED,12,months,Standard
308,Geely,GX2,525,525,500,AED,12,months,Standard
309,Genesis,G70,775,775,738.0952381,AED,12,months,Standard
310,Genesis,G80,,,,AED,12,months,Standard
311,Genesis,G90,775,775,738.0952381,AED,12,months,Standard
312,GMC,Acadia,635,635,604.7619048,AED,12,months,Standard
313,GMC,Envoy,635,635,604.7619048,AED,12,months,Standard
314,GMC,Sierra 1500,700,700,666.6666667,AED,12,months,Standard
315,GMC,Terrain,635,635,604.7619048,AED,12,months,Standard
316,GMC,Yukon,700,700,666.6666667,AED,12,months,Standard
317,Great Wall,Florid,,,,AED,12,months,Standard
318,Great Wall,Wingle,,,,AED,12,months,Standard
319,Haval,H2 Crossover,635,635,604.7619048,AED,12,months,Standard
320,Haval,H6,635,635,604.7619048,AED,12,months,Standard
321,Haval,H8,635,635,604.7619048,AED,12,months,Standard
322,Haval,H9,635,635,604.7619048,AED,12,months,Standard
323,Honda,Accord,420,420,400,AED,12,months,Standard
324,Honda,Accord Coupe,525,525,500,AED,12,months,Standard
325,Honda,Accord Crosstour,420,420,400,AED,12,months,Standard
326,Honda,City,395,395,376.1904762,AED,12,months,Standard
327,Honda,Civic,420,420,400,AED,12,months,Standard
328,Honda,Civic Hatchback,420,420,400,AED,12,months,Standard
329,Honda,CR-V,,,,AED,12,months,Standard
330,Honda,CRX,420,420,400,AED,12,months,Standard
331,Honda,Jazz,395,395,376.1904762,AED,12,months,Standard
332,Honda,Legend,,,,AED,12,months,Standard
333,Honda,MR-V,,,,AED,12,months,Standard
334,Honda,Odyssey,525,525,500,AED,12,months,Standard
335,Honda,Odyssey J,420,420,400,AED,12,months,Standard
336,Honda,Pilot,580,580,552.3809524,AED,12,months,Standard
337,Honda,S2000,,,,AED,12,months,Standard
338,Hummer,H2,635,635,604.7619048,AED,12,months,Standard
339,Hummer,H3,,,,AED,12,months,Standard
340,Hyundai,Accent,450,450,428.5714286,AED,12,months,Standard
341,Hyundai,Atos Prime,,,,AED,12,months,Standard
342,Hyundai,Azera,525,525,500,AED,12,months,Standard
343,Hyundai,Centennial,775,775,738.0952381,AED,12,months,Standard
344,Hyundai,Coupe,525,525,500,AED,12,months,Standard
345,Hyundai,Creta,525,525,500,AED,12,months,Standard
346,Hyundai,Elantra,450,450,428.5714286,AED,12,months,Standard
347,Hyundai,Elantra Coupe,525,525,500,AED,12,months,Standard
348,Hyundai,Genesis,775,775,738.0952381,AED,12,months,Standard
349,Hyundai,Genesis Coupe,525,525,500,AED,12,months,Standard
350,Hyundai,Getz,395,395,376.1904762,AED,12,months,Standard
351,Hyundai,Grand i10,470,470,447.6190476,AED,12,months,Standard
352,Hyundai,Grand Santa Fe,525,525,500,AED,12,months,Standard
353,Hyundai,H1,525,525,500,AED,12,months,Standard
354,Hyundai,i10,470,470,447.6190476,AED,12,months,Standard
355,Hyundai,i20,470,470,447.6190476,AED,12,months,Standard
356,Hyundai,i30,525,525,500,AED,12,months,Standard
357,Hyundai,i40,525,525,500,AED,12,months,Standard
358,Hyundai,Kona,470,470,447.6190476,AED,12,months,Standard
359,Hyundai,Matrix,420,420,400,AED,12,months,Standard
360,Hyundai,Santa Fe,525,525,500,AED,12,months,Standard
361,Hyundai,Sonata,525,525,500,AED,12,months,Standard
362,Hyundai,Terracan,,,,AED,12,months,Standard
363,Hyundai,Trajet,,,,AED,12,months,Standard
364,Hyundai,Tucson,470,470,447.6190476,AED,12,months,Standard
365,Hyundai,Veloster,450,450,428.5714286,AED,12,months,Standard
366,Hyundai,Veloster Turbo,525,525,500,AED,12,months,Standard
367,Hyundai,Veracruz,525,525,500,AED,12,months,Standard
368,Infiniti,EX,525,525,500,AED,12,months,Standard
